"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
5,0,0,0,2000,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2000,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2000,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2000,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.94,0,0,2000,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2000,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2000,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2000,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2001,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2001,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2001,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2001,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2001,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2001,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.99,0,0,2001,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2001,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2001,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2001,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2002,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2002,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2002,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2002,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2002,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2002,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,1,0,0,2002,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2002,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2002,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2002,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2003,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2003,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2003,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2003,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2003,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2003,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,1,0,0,2003,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2003,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2003,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2003,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2004,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2004,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2004,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2004,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2004,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2004,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,1,0,0,2004,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2004,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2004,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2004,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2005,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2005,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2005,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2005,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2005,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2005,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,1,0,0,2005,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2005,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2005,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2005,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2006,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2006,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2006,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2006,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2006,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2006,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,1,0,0,2006,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2006,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2006,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2006,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2007,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2007,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2007,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2007,1.1953484150043,0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
