"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
10,0,0,0,2000,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2000,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2000,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.2,0,0,2000,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2000,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2000,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2000,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2001,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2001,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2001,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2001,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2001,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2001,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.19,0,0,2001,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2001,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2001,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2001,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2002,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2002,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2002,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2002,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2002,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2002,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.33,0,0,2002,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2002,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2002,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2002,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2003,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2003,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2003,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2003,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2003,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2003,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.42,0,0,2003,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2003,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2003,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2003,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2004,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2004,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2004,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2004,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2004,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2004,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.57,0,0,2004,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2004,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2004,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2004,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2005,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2005,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2005,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2005,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2005,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2005,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.65,0,0,2005,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2005,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2005,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2005,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2006,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2006,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2006,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2006,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2006,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2006,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.69,0,0,2006,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,1,0,0,2006,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,1,0,0,2006,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,1,0,0,2006,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,2007,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,2007,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,2007,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,2007,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,2007,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0,0,0,2007,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.84,0,0,2007,1.16378527520296,0.14078828125,0.0588235294117647,1.14038822348558,0.575014100122841,0.0261477721347518,0.0682737468950202,0.624680211332557,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
